date,index_value
2025-01-01,203.8
2025-01-02,207.59
2025-01-03,213.07
2025-01-04,218.34
2025-01-05,218.85
2025-01-06,218.4
2025-01-07,225.26
2025-01-08,211.7
2025-01-09,208.35
2025-01-10,202.04
2025-01-11,206.72
2025-01-12,208.03
2025-01-13,207.08
2025-01-14,205.49
2025-01-15,210.62
2025-01-16,222.56
2025-01-17,221.07
2025-01-18,230.25
2025-01-19,229.73
2025-01-20,220.61
2025-01-21,223.15
2025-01-22,230.6
2025-01-23,226.17
2025-01-24,226.73
2025-01-25,227.53
2025-01-26,227.68
2025-01-27,222.19
2025-01-28,220.83
2025-01-29,217.62
2025-01-30,221.92
2025-01-31,226.05
2025-02-01,222.34
2025-02-02,215.6
2025-02-03,205.26
2025-02-04,212.58
2025-02-05,203.55
2025-02-06,200.84
2025-02-07,199.33
2025-02-08,199.02
2025-02-09,199.94
2025-02-10,199.73
2025-02-11,201.95
2025-02-12,199.24
2025-02-13,204.79
2025-02-14,202.21
2025-02-15,205.07
2025-02-16,204.7
2025-02-17,201.86
2025-02-18,201.21
2025-02-19,198.89
2025-02-20,201.9
2025-02-21,204.92
2025-02-22,199.62
2025-02-23,201.85
2025-02-24,201.58
2025-02-25,187.89
2025-02-26,183.88
2025-02-27,174.85
2025-02-28,175.59
2025-03-01,174.39
2025-03-02,177.24
2025-03-03,198.72
2025-03-04,177.18
2025-03-05,179.74
2025-03-06,186.1
2025-03-07,184.81
2025-03-08,177.97
2025-03-09,177.26
2025-03-10,165.27
2025-03-11,159.09
2025-03-12,167.37
2025-03-13,169.16
2025-03-14,164.77
2025-03-15,170.68
2025-03-16,172.34
2025-03-17,167.91
2025-03-18,171.25
2025-03-19,169.01
2025-03-20,177.99
2025-03-21,172.42
2025-03-22,171.78
2025-03-23,171.54
2025-03-24,175.5
2025-03-25,179.2
2025-03-26,179.25
2025-03-27,177.12
2025-03-28,177.78
2025-03-29,171.02
2025-03-30,166.81
2025-03-31,166.14
2025-04-01,166.43
2025-04-02,171.63
2025-04-03,165.22
2025-04-04,166.51
2025-04-05,168.21
2025-04-06,167.41
2025-04-07,154.92
2025-04-08,156.03
2025-04-09,150.3
2025-04-10,164.12
2025-04-11,157.43
2025-04-12,164.37
2025-04-13,169.33
2025-04-14,165.6
2025-04-15,167.01
2025-04-16,164.78
2025-04-17,165.38
2025-04-18,166.97
2025-04-19,166.39
2025-04-20,167.95
2025-04-21,167.7
2025-04-22,171.16
2025-04-23,183.41
2025-04-24,184.22
2025-04-25,184.63
2025-04-26,185.71
2025-04-27,186.11
2025-04-28,184.55
2025-04-29,186.72
2025-04-30,185.06
2025-05-01,184.58
2025-05-02,188.81
2025-05-03,189.35
2025-05-04,187.37
2025-05-05,184.25
2025-05-06,185.07
2025-05-07,188.36
2025-05-08,188.5
2025-05-09,204.06
2025-05-10,205.99
2025-05-11,212.7
2025-05-12,209.74
2025-05-13,208.67
2025-05-14,213.15
2025-05-15,210.68
2025-05-16,208.93
2025-05-17,208.35
2025-05-18,206.8
2025-05-19,213.14
2025-05-20,211.27
2025-05-21,213.03
2025-05-22,218.28
2025-05-23,223.35
2025-05-24,213.84
2025-05-25,215.0
2025-05-26,217.16
2025-05-27,217.68
2025-05-28,218.18
2025-05-29,216.16
2025-05-30,211.67
2025-05-31,206.7
2025-06-01,207.85
2025-06-02,209.63
2025-06-03,210.79
2025-06-04,210.07
2025-06-05,208.76
2025-06-06,200.84
2025-06-07,206.28
2025-06-08,209.08
2025-06-09,209.59
2025-06-10,218.91
2025-06-11,220.52
2025-06-12,217.17
2025-06-13,210.41
2025-06-14,209.91
2025-06-15,208.07
2025-06-16,208.92
2025-06-17,210.91
2025-06-18,206.61
2025-06-19,207.13
2025-06-20,206.77
2025-06-21,202.91
2025-06-22,199.36
2025-06-23,196.39
2025-06-24,206.64
2025-06-25,208.18
2025-06-26,209.57
2025-06-27,208.21
2025-06-28,208.93
2025-06-29,210.07
2025-06-30,212.72
2025-07-01,210.88
2025-07-02,206.94
2025-07-03,214.21
2025-07-04,215.82
2025-07-05,211.88
2025-07-06,212.34
2025-07-07,214.99
2025-07-08,213.08
2025-07-09,215.17
2025-07-10,221.16
2025-07-11,231.27
2025-07-12,234.78
2025-07-13,234.45
2025-07-14,238.16
2025-07-15,240.13
2025-07-16,238.34
2025-07-17,243.17
2025-07-18,247.64
2025-07-19,246.31
2025-07-20,246.91
2025-07-21,248.71
2025-07-22,250.01
2025-07-23,254.3
2025-07-24,247.93
2025-07-25,247.31
2025-07-26,247.14
2025-07-27,248.06
2025-07-28,252.7
2025-07-29,248.21
2025-07-30,247.85
2025-07-31,247.21
2025-08-01,242.21
2025-08-02,235.39
2025-08-03,231.88
2025-08-04,236.86
2025-08-05,241.61
2025-08-06,237.96
2025-08-07,240.57
2025-08-08,248.91
2025-08-09,248.86
2025-08-10,251.09
2025-08-11,254.98
2025-08-12,252.92
2025-08-13,260.6
2025-08-14,267.85
2025-08-15,256.83
2025-08-16,254.16
2025-08-17,254.48
2025-08-18,255.47
2025-08-19,251.25
2025-08-20,242.02
2025-08-21,248.21
2025-08-22,243.26
2025-08-23,258.71
2025-08-24,255.65
2025-08-25,252.71
2025-08-26,241.11
2025-08-27,247.43
2025-08-28,245.62
2025-08-29,248.4
2025-08-30,239.28
2025-08-31,240.03
2025-09-01,238.89
2025-09-02,239.04
2025-09-03,243.51
2025-09-04,245.58
2025-09-05,241.63
2025-09-06,242.03
2025-09-07,240.88
2025-09-08,243.63
2025-09-09,246.09
2025-09-10,245.49
2025-09-11,250.37
2025-09-12,254.63
2025-09-13,259.04
2025-09-14,258.77
2025-09-15,256.24
2025-09-16,254.86
2025-09-17,257.63
2025-09-18,259.26
2025-09-19,260.44
2025-09-20,255.92
2025-09-21,256.65
2025-09-22,255.24
2025-09-23,246.87
2025-09-24,245.12
2025-09-25,247.43
2025-09-26,235.56
2025-09-27,239.18
2025-09-28,239.15
2025-09-29,244.97
2025-09-30,249.28
2025-10-01,247.58
2025-10-02,258.04
2025-10-03,263.96
2025-10-04,267.58
2025-10-05,266.27
2025-10-06,268.24
2025-10-07,272.78
2025-10-08,264.89
2025-10-09,269.19
2025-10-10,263.86
2025-10-11,238.41
2025-10-12,234.74
2025-10-13,248.75
2025-10-14,250.87
2025-10-15,244.59
2025-10-16,238.42
2025-10-17,232.42
2025-10-18,228.08
2025-10-19,230.58
2025-10-20,233.25
2025-10-21,237.5
2025-10-22,231.97
2025-10-23,229.89
2025-10-24,235.35
2025-10-25,237.98
2025-10-26,239.59
2025-10-27,246.79
2025-10-28,245.38
2025-10-29,241.53
2025-10-30,236.6
2025-10-31,231.43
2025-11-01,234.3
2025-11-02,235.38
2025-11-03,236.35
2025-11-04,224.06
2025-11-05,212.18
2025-11-06,218.42
2025-11-07,212.47
2025-11-08,218.66
2025-11-09,216.36
2025-11-10,222.27
2025-11-11,224.93
2025-11-12,217.23
2025-11-13,215.06
2025-11-14,209.13
2025-11-15,199.9
2025-11-16,202.38
2025-11-17,199.27
2025-11-18,194.59
2025-11-19,197.83
2025-11-20,193.65
2025-11-21,183.6
2025-11-22,179.59
2025-11-23,178.93
2025-11-24,183.12
2025-11-25,188.18
2025-11-26,186.83
2025-11-27,192.76
2025-11-28,193.67
2025-11-29,192.78
2025-11-30,192.09
2025-12-01,191.03
