Coin_ID,Model,Observations,R_Squared,Adj_R_Squared,Alpha,Alpha_t_stat,Beta_R_MKT,t_stat_R_MKT,Beta_CSMB,t_stat_CSMB,Beta_CLMW,t_stat_CLMW,Beta_CIHML,t_stat_CIHML
1,CAPM,302.0,0.954334127646493,0.9541819080719812,-1.878515860982019e-05,-0.0688482352532489,0.8405789451166977,79.17990485588562,,,,,,
2,CAPM,302.0,0.5166514228114132,0.5150402608874511,-0.0007495260347203,-0.4560205741364707,1.145177967730552,17.907263326706822,,,,,,
52,CAPM,302.0,0.7569602171499377,0.7561500845404374,-0.0003652001585139,-0.2947631956703703,1.4735254808434832,30.56739793474797,,,,,,
74,CAPM,302.0,0.777893625363673,0.7771532707815519,-0.0017716545158695,-1.3013574697025851,1.7169756129515674,32.41456680511181,,,,,,
512,CAPM,302.0,0.6663764793306057,0.6652644009283744,-0.0009748242302984,-0.6865447034530237,1.3523562097045312,24.47891287802093,,,,,,
1027,CAPM,302.0,0.8260222425607892,0.8254423167026584,0.0004350833256474,0.4486240812340661,1.424101585669613,37.74067245238899,,,,,,
1437,CAPM,302.0,0.1179058853372214,0.1149655716216787,0.0082806172004601,2.190846679476517,0.931243186135864,6.33243742548208,,,,,,
1831,CAPM,302.0,0.4659769130665622,0.4641968361101173,0.0013798718326194,0.8444378291636486,1.0286683037522704,16.179414857118083,,,,,,
1839,CAPM,302.0,0.5272436358388161,0.5256677812916121,0.0012985640465228,1.1528650256214552,0.8016300651101247,18.291427857321988,,,,,,
1958,CAPM,302.0,0.2634792048144023,0.261024135497117,0.0006268981786331,0.6462507934588788,0.3910017398063504,10.359559585556326,,,,,,
1975,CAPM,302.0,0.7845408827487234,0.783822685691219,-0.0012249513565891,-0.9364351709321768,1.6821649662316285,33.051104641808436,,,,,,
2010,CAPM,302.0,0.7350735049819622,0.7341904166652354,-0.0018077427211271,-1.097600567703226,1.8488304787210827,28.85116238297825,,,,,,
3635,CAPM,302.0,0.4275538405149635,0.4256456866500133,1.1344848159794896e-05,0.0049777420765652,1.3273837191598596,14.96885943818325,,,,,,
4642,CAPM,302.0,0.6252268461174969,0.6239776022712218,-0.0017123396142733,-0.9823714071263971,1.5172280681527082,22.37150489588571,,,,,,
5426,CAPM,302.0,0.7906666558996799,0.7899688780860121,-0.0009233761353748,-0.7677298934870302,1.5752511555483273,33.66186188249553,,,,,,
5805,CAPM,302.0,0.7031490370999849,0.7021595338903182,-0.0021533716735578,-1.3668073205991946,1.6340610103321114,26.657234323412148,,,,,,
5994,CAPM,302.0,0.7071648944270785,0.706188777408502,-0.0019364539623205,-1.5338914637692118,1.3220973306800334,26.915930864722352,,,,,,
11419,CAPM,302.0,0.4867660238552739,0.4850552439347915,-0.0030741591646226,-1.8269421841359164,1.1043483339401656,16.867979181949693,,,,,,
20947,CAPM,302.0,0.7110709273595215,0.7101078304507198,-0.0023055258648355,-1.3601690297310516,1.7920084863579795,27.17199129695198,,,,,,
32196,CAPM,302.0,0.4572101869038564,0.4554008875268692,0.0016422195944656,0.7112950424729331,1.4279916190695503,15.896544577967523,,,,,,
33251,CAPM,62.0,0.5041581106171764,0.4958940791274627,0.0045466016200137,0.6735057648608946,1.944686315181836,7.810653960373268,,,,,,
1,4_Factor,302.0,0.95458250254019,0.9539708190727177,-5.6261779900233006e-05,-0.20391872993657903,0.8459287170453806,73.6617812809932,0.004268920136266289,0.21195255105585892,-0.012403718873006541,-1.118496908578348,-0.01092755297469766,-0.7594643152704229
2,4_Factor,302.0,0.6219023325237589,0.6168101080459645,-0.001797414514094887,-1.2194264383893554,1.1174696849739485,18.214108148880584,0.9642592963389814,8.961447501240727,0.05046742411535227,0.8518394019118705,-0.14780428399633694,-1.9228047498814371
52,4_Factor,302.0,0.759219077214981,0.7559762365040718,-9.725929552618283e-05,-0.07778260613851909,1.4524194381565125,27.9066831518914,-0.06526416412913481,-0.7149951877552673,0.06894617461219238,1.371831494220325,0.01150794145630673,0.1764776924625697
74,4_Factor,302.0,0.7886273585423452,0.7857805889604239,-0.0020482538355097108,-1.5210339215496114,1.6833962993253644,30.03352370921519,0.33229829698358,3.38033861306648,0.05332221626336223,0.9851504005138481,0.03620955724577415,0.5156073970772156
512,4_Factor,302.0,0.7216915463791944,0.7179432843775675,-0.0011785760787595388,-0.8962861467025862,1.2767724569361805,23.32745526755851,0.16067782054219082,1.673870910342629,0.023354380613801986,0.44187215910353844,0.4290531860725812,6.256637523903882
1027,4_Factor,302.0,0.8281622743441883,0.825847961540743,0.0004605723426145185,0.47127785011931494,1.4427210442565406,35.46715381664007,-0.060069770017142185,-0.8420000371917505,-0.02198397715444325,-0.5596605063191734,-0.06587784069103686,-1.292585652816087
1437,4_Factor,302.0,0.36618700129162596,0.3576507992888196,0.004617494379175533,1.4213923344443815,1.0197212355547516,7.541432621606775,1.391182821919013,5.866360771659903,-0.6750881013243278,-5.170199131729494,0.5179577041423187,3.0573326383040937
1831,4_Factor,302.0,0.5299176947747023,0.5235866199568532,0.0004969491884974229,0.3196799556367989,1.0220071281398762,15.795091408739436,0.7021177764074042,6.1871458986270245,-0.007131430240913627,-0.11413511540430747,-0.10565155019078909,-1.303227081366118
1839,4_Factor,302.0,0.5300458165329252,0.5237164672606414,0.0013889347408910348,1.2197456770966706,0.7829522266069919,16.519142836915854,0.05138267153851971,0.6181318125616764,0.05644098385097562,1.2331651582046086,-0.0058664485936466195,-0.09878784645047867
1958,4_Factor,302.0,0.2745462270334905,0.2647758058487565,0.0007875403334177151,0.806762951419679,0.39563940888440374,9.737276074666703,-0.14927966881013302,-2.0948395841079015,-0.008451232890589242,-0.2153934210266017,0.021873415026498037,0.4296655522282285
1975,4_Factor,302.0,0.7984552354068837,0.795740827802936,-0.0014106502221841394,-1.0996546566150476,1.6305639615061973,30.53793128993592,0.31190576203995635,3.330713994400797,0.0811541722448731,1.5739359381149802,0.10449477720578884,1.5619688273554955
2010,4_Factor,302.0,0.758880891831333,0.755633496435122,-0.0006978492101892439,-0.4380236907651812,1.7636999229952295,26.596562109028284,-0.442834605088868,-3.8076281425851946,0.21617817943900028,3.37588067415592,0.22237105053376607,2.6764248810791704
3635,4_Factor,302.0,0.579880745370825,0.5742225735913076,-0.002206890566033012,-1.1147486498003552,1.3725433608628854,16.656625770859126,1.011049540622058,6.995931701011311,-0.33882106057950373,-4.258001183498892,0.18056685599629457,1.74894033977851
4642,4_Factor,302.0,0.7098961509059216,0.7059890283592001,-0.0021718376552450004,-1.3966966263334117,1.3975611767104308,21.592869071486373,0.5464189032076617,4.813682132764367,0.10838175200591389,1.7340839399254526,0.45621498802795096,5.625810204152976
5426,4_Factor,302.0,0.7920793623680451,0.78927908442014,-0.0007593515725218456,-0.6247762804593704,1.5723791493773929,31.08162461501733,-0.05617335447065109,-0.6331242725060058,0.03228759593180898,0.660931680685883,-0.03654042916899829,-0.5764957133632764
5805,4_Factor,302.0,0.7782319993500688,0.7752452249305412,-0.0026802138991325543,-1.9411494387610757,1.5197152574040251,26.443353909595803,0.7433793831696562,7.3752542381267405,0.16288239107998523,2.9349646523948283,0.25567417544202536,3.5507261743234495
5994,4_Factor,302.0,0.7539214383365048,0.7506072489538315,-0.0023565696361296405,-2.008278026586394,1.2590400522212297,25.777921870420627,0.5300189513675043,6.187453175055473,0.09521390907627746,2.0187529676879095,0.10089166481065487,1.6486924501476827
11419,4_Factor,302.0,0.5746821159722355,0.5689539289819626,-0.003015734787426425,-1.9416632118680115,0.9570408856463508,14.803896711474074,0.5160188412301463,4.551172363751446,0.27521127628557873,4.408452891229598,0.29338925582509634,3.6221444341686513
20947,4_Factor,302.0,0.754648068271821,0.7513436651509027,-0.0026485381265375593,-1.672289327765352,1.69244017435213,25.673395614116536,0.7078066853226112,6.122049225062328,0.20375665552659464,3.2007828836680323,0.07491774291946526,0.9070488471787204
32196,4_Factor,302.0,0.5934944213178823,0.588019598709369,0.002276756549156412,1.1238262206137712,1.258851699963339,14.928698084751048,-0.4240765198902645,-2.867502210241961,0.09714414380119474,1.1929944257622873,1.049430393223641,9.932921562143052
33251,4_Factor,62.0,0.7154559964581826,0.695487996209634,0.005241088978708143,0.9608172968430111,0.969186264531243,3.922680173390459,1.534864241813768,4.331350474610981,1.087028264289679,5.132668623177287,0.3509883404186524,1.3530170099965986
